State_Code,State,Cowin Key,District
TG,Telangana,Jangaon,Jangaon
TG,Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalapally
TG,Telangana,Jogulamba Gadwal,Jogulamba Gadwal
TG,Telangana,Kamareddy,Kamareddy
TG,Telangana,Karimnagar,Karimnagar
TG,Telangana,Khammam,Khammam
TG,Telangana,Kumuram Bheem,Komaram Bheem
TG,Telangana,Mahabubabad,Mahabubabad
TG,Telangana,Mahabubnagar,Mahabubnagar
TG,Telangana,Mancherial,Mancherial
TG,Telangana,Medak,Medak
TG,Telangana,Medchal,Medchal Malkajgiri
TG,Telangana,Mulugu,Mulugu
TG,Telangana,Nagarkurnool,Nagarkurnool
TG,Telangana,Nalgonda,Nalgonda
TG,Telangana,Narayanpet,Narayanpet
TG,Telangana,Nirmal,Nirmal
TG,Telangana,Nizamabad,Nizamabad
TG,Telangana,Peddapalli,Peddapalli
TG,Telangana,Rajanna Sircilla,Rajanna Sircilla
TG,Telangana,Rangareddy,Ranga Reddy
TG,Telangana,Sangareddy,Sangareddy
TG,Telangana,Siddipet,Siddipet
TG,Telangana,Suryapet,Suryapet
TG,Telangana,Vikarabad,Vikarabad
TG,Telangana,Wanaparthy,Wanaparthy
TG,Telangana,Warangal(Rural),Warangal Rural
TG,Telangana,Warangal(Urban),Warangal Urban
TG,Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri
TR,Tripura,Dhalai,Dhalai
TR,Tripura,Gomati,Gomati
TR,Tripura,Khowai,Khowai
TR,Tripura,North Tripura,North Tripura
TR,Tripura,Sepahijala,Sipahijala
TR,Tripura,South Tripura,South Tripura
TR,Tripura,Unakoti,Unokoti
TR,Tripura,West Tripura,West Tripura
UP,Uttar Pradesh,Agra,Agra
UP,Uttar Pradesh,Aligarh,Aligarh
UP,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar
UP,Uttar Pradesh,Amethi,Amethi
UP,Uttar Pradesh,Amroha,Amroha
UP,Uttar Pradesh,Auraiya,Auraiya
UP,Uttar Pradesh,Ayodhya,Ayodhya
UP,Uttar Pradesh,Azamgarh,Azamgarh
UP,Uttar Pradesh,Badaun,Budaun
UP,Uttar Pradesh,Baghpat,Baghpat
UP,Uttar Pradesh,Bahraich,Bahraich
UP,Uttar Pradesh,Balarampur,Balrampur
UP,Uttar Pradesh,Ballia,Ballia
UP,Uttar Pradesh,Banda,Banda
UP,Uttar Pradesh,Barabanki,Barabanki
UP,Uttar Pradesh,Bareilly,Bareilly
UP,Uttar Pradesh,Basti,Basti
UP,Uttar Pradesh,Bhadohi,Bhadohi
UP,Uttar Pradesh,Bijnour,Bijnor
UP,Uttar Pradesh,Bulandshahr,Bulandshahr
UP,Uttar Pradesh,Chandauli,Chandauli
UP,Uttar Pradesh,Chitrakoot,Chitrakoot
UP,Uttar Pradesh,Deoria,Deoria
UP,Uttar Pradesh,Etah,Etah
UP,Uttar Pradesh,Etawah,Etawah
UP,Uttar Pradesh,Farrukhabad,Farrukhabad
UP,Uttar Pradesh,Fatehpur,Fatehpur
UP,Uttar Pradesh,Firozabad,Firozabad
UP,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar
UP,Uttar Pradesh,Ghaziabad,Ghaziabad
UP,Uttar Pradesh,Ghazipur,Ghazipur
UP,Uttar Pradesh,Gonda,Gonda
UP,Uttar Pradesh,Gorakhpur,Gorakhpur
UP,Uttar Pradesh,Hamirpur,Hamirpur
UP,Uttar Pradesh,Hapur,Hapur
UP,Uttar Pradesh,Hardoi,Hardoi
UP,Uttar Pradesh,Hathras,Hathras
UP,Uttar Pradesh,Jalaun,Jalaun
UP,Uttar Pradesh,Jaunpur,Jaunpur
UP,Uttar Pradesh,Jhansi,Jhansi
UP,Uttar Pradesh,Kannauj,Kannauj
UP,Uttar Pradesh,Kanpur Dehat,Kanpur Dehat
UP,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar
UP,Uttar Pradesh,Kasganj,Kasganj
UP,Uttar Pradesh,Kaushambi,Kaushambi
UP,Uttar Pradesh,Kushinagar,Kushinagar
UP,Uttar Pradesh,Lakhimpur Kheri,Lakhimpur Kheri
UP,Uttar Pradesh,Lalitpur,Lalitpur
UP,Uttar Pradesh,Lucknow,Lucknow
UP,Uttar Pradesh,Maharajganj,Maharajganj
UP,Uttar Pradesh,Mahoba,Mahoba
UP,Uttar Pradesh,Mainpuri,Mainpuri
UP,Uttar Pradesh,Mathura,Mathura
UP,Uttar Pradesh,Mau,Mau
UP,Uttar Pradesh,Meerut,Meerut
UP,Uttar Pradesh,Mirzapur,Mirzapur
UP,Uttar Pradesh,Moradabad,Moradabad
UP,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar
UP,Uttar Pradesh,Pilibhit,Pilibhit
UP,Uttar Pradesh,Pratapgarh,Pratapgarh
UP,Uttar Pradesh,Prayagraj,Prayagraj
UP,Uttar Pradesh,Raebareli,Rae Bareli
UP,Uttar Pradesh,Rampur,Rampur
UP,Uttar Pradesh,Saharanpur,Saharanpur
UP,Uttar Pradesh,Sambhal,Sambhal
UP,Uttar Pradesh,Sant Kabir Nagar,Sant Kabir Nagar
UP,Uttar Pradesh,Shahjahanpur,Shahjahanpur
UP,Uttar Pradesh,Shamli,Shamli
UP,Uttar Pradesh,Shravasti,Shrawasti
UP,Uttar Pradesh,Siddharthnagar,Siddharthnagar
UP,Uttar Pradesh,Sitapur,Sitapur
UP,Uttar Pradesh,Sonbhadra,Sonbhadra
UP,Uttar Pradesh,Sultanpur,Sultanpur
UP,Uttar Pradesh,Unnao,Unnao
UP,Uttar Pradesh,Varanasi,Varanasi
UT,Uttarakhand,Almora,Almora
UT,Uttarakhand,Bageshwar,Bageshwar
UT,Uttarakhand,Chamoli,Chamoli
UT,Uttarakhand,Champawat,Champawat
UT,Uttarakhand,Dehradun,Dehradun
UT,Uttarakhand,Haridwar,Haridwar
UT,Uttarakhand,Nainital,Nainital
UT,Uttarakhand,Pauri Garhwal,Pauri Garhwal
UT,Uttarakhand,Pithoragarh,Pithoragarh
UT,Uttarakhand,Rudraprayag,Rudraprayag
UT,Uttarakhand,Tehri Garhwal,Tehri Garhwal
UT,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar
UT,Uttarakhand,Uttarkashi,Uttarkashi
WB,West Bengal,Alipurduar District,Alipurduar
WB,West Bengal,Bankura,Bankura
WB,West Bengal,Basirhat HD (North 24 Parganas),North 24 Parganas
WB,West Bengal,Birbhum,Birbhum
WB,West Bengal,Bishnupur HD (Bankura),Bankura
WB,West Bengal,COOCHBEHAR,Cooch Behar
WB,West Bengal,Dakshin Dinajpur,Dakshin Dinajpur
WB,West Bengal,Darjeeling,Darjeeling
WB,West Bengal,Diamond Harbor HD (S 24 Parganas),South 24 Parganas
WB,West Bengal,East Bardhaman,Purba Bardhaman
WB,West Bengal,Hoogly,Hooghly
WB,West Bengal,Howrah,Howrah
WB,West Bengal,Jalpaiguri,Jalpaiguri
WB,West Bengal,Jhargram,Jhargram
WB,West Bengal,Kalimpong,Kalimpong
WB,West Bengal,Kolkata,Kolkata
WB,West Bengal,Malda,Malda
WB,West Bengal,Murshidabad,Murshidabad
WB,West Bengal,Nadia,Nadia
WB,West Bengal,Nandigram HD (East Medinipore),Purba Medinipur
WB,West Bengal,North 24 Parganas,North 24 Parganas
WB,West Bengal,Paschim Medinipore,Paschim Medinipur
WB,West Bengal,Purba Medinipore,Purba Medinipur
WB,West Bengal,Purulia,Purulia
WB,West Bengal,Rampurhat HD (Birbhum),Birbhum
WB,West Bengal,South 24 Parganas,South 24 Parganas
WB,West Bengal,Uttar Dinajpur,Uttar Dinajpur
WB,West Bengal,West Bardhaman,Paschim Bardhaman
